23,20,23,2,4,11,7,49,9,4,41,8,13,4,40,7,50,6,30,35,0
7,50,6,30,35,44,26,6,32,8,13,4,47,27,4,22,23,23,2,20,1
21,3,22,2,1,4,25,26,49,9,4,47,7,17,15,9,17,4,41,8,0
17,35,9,17,4,41,7,17,49,43,13,4,47,27,4,22,1,23,20,1,1
42,42,2,2,4,18,26,58,32,6,4,41,8,13,4,40,7,50,6,30,0
7,50,6,30,35,44,26,6,32,8,13,4,47,27,4,22,23,23,1,23,1
1,3,22,2,2,4,39,26,30,6,35,12,9,17,6,4,40,32,28,8,0
4,14,7,4,5,26,30,7,8,7,13,4,47,27,4,22,2,33,23,20,1
1,42,1,4,34,4,41,6,8,32,7,17,8,35,4,40,32,28,8,13,0
40,6,30,17,7,30,8,26,17,9,13,4,47,27,4,22,21,3,2,20,1
21,42,3,1,2,4,36,43,6,4,53,32,8,4,41,8,13,4,11,12,0
17,35,9,17,4,41,7,17,49,43,13,4,47,27,4,22,1,23,20,1,1
1,23,1,23,4,41,28,4,47,6,17,12,6,30,4,48,30,13,4,47,0
48,30,13,4,47,9,32,12,9,17,13,4,47,27,4,22,21,23,21,3,1
42,3,2,2,4,31,7,30,8,6,17,4,31,30,9,28,6,4,40,32,0
6,35,12,16,26,17,35,12,6,30,13,4,47,27,4,22,21,33,20,23,1
21,2,2,4,36,30,7,28,6,32,6,30,35,4,18,7,15,13,4,11,0
11,7,17,4,5,7,30,49,9,35,13,4,47,27,4,22,21,2,33,22,1
1,23,42,24,42,4,11,15,49,7,16,9,30,6,4,27,28,6,13,4,0
11,7,17,4,5,7,30,12,26,17,13,4,47,27,4,22,42,2,3,33,1
3,3,23,42,4,31,30,7,17,26,12,6,4,48,30,13,4,41,9,49,0
30,13,4,41,9,49,50,32,26,17,13,4,47,27,4,22,42,33,24,24,1
42,2,33,42,4,59,46,26,17,17,4,41,8,13,4,60,7,49,7,28,0
4,60,7,49,7,28,26,32,32,6,13,4,47,27,4,22,42,33,20,20,1
1,2,23,22,4,53,30,32,7,17,8,9,4,27,28,6,13,4,41,9,0
4,41,9,35,6,28,26,32,32,6,13,4,47,27,4,22,42,33,33,1,1
23,24,2,2,4,27,46,12,9,4,5,7,32,32,4,48,30,13,4,27,0
13,4,27,17,8,6,30,35,9,17,13,4,47,27,4,22,33,2,2,24,1
23,33,24,21,4,11,4,5,7,45,32,6,4,27,28,6,13,4,39,30,0
28,6,13,4,39,30,6,35,17,9,13,4,47,27,4,22,23,24,21,42,1
3,42,2,1,4,25,32,6,7,35,7,17,12,9,17,4,27,28,6,13,0
25,32,6,7,35,7,17,12,9,17,13,4,47,27,4,22,3,42,33,33,1
23,33,23,23,4,11,4,5,7,45,32,6,4,27,28,6,13,4,39,30,0
28,6,13,4,39,30,6,35,17,9,13,4,47,27,4,22,23,24,21,42,1
33,21,42,4,11,12,7,12,6,4,11,12,13,4,11,7,17,12,7,4,0
12,7,4,40,7,30,58,7,30,7,13,4,47,27,4,22,23,1,2,1,1
1,23,2,2,2,4,39,9,32,35,9,16,4,40,32,28,8,4,11,12,0
