21,24,22,2,42,4,29,7,12,15,4,39,10,15,13,4,29,7,12,15,0
4,39,10,15,13,4,29,7,12,15,13,4,36,70,4,24,24,3,22,3,1
23,20,22,1,4,38,4,56,17,12,6,30,35,12,7,12,6,4,23,42,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
20,20,2,42,4,38,4,48,6,35,6,30,12,4,40,32,28,8,13,4,0
28,8,13,4,60,26,17,12,9,17,13,4,36,70,4,24,22,20,21,1,1
20,20,2,42,4,38,4,48,6,35,6,30,12,4,40,32,28,8,13,4,0
4,47,7,17,46,12,26,32,32,9,13,4,36,70,4,24,22,20,23,42,1
1,2,1,2,2,4,11,9,46,12,43,4,39,10,15,13,4,39,9,30,0
39,9,30,12,4,18,9,30,12,43,13,4,36,70,4,24,33,1,3,2,1
23,20,20,24,4,38,4,56,17,12,6,30,35,12,7,12,6,4,23,42,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
1,1,21,24,1,4,55,35,4,51,26,37,43,10,7,15,4,33,22,4,0
22,4,38,13,4,36,15,32,6,30,13,4,36,70,4,24,42,24,2,33,1
21,2,2,42,4,11,4,11,7,16,4,41,7,15,58,46,30,17,4,39,0
15,13,4,11,43,6,30,16,7,17,13,4,36,70,4,24,42,2,22,2,1
21,24,33,3,4,56,17,12,6,30,35,12,7,12,6,4,23,2,13,4,0
13,4,5,6,35,64,46,26,12,6,13,4,36,70,4,24,42,1,42,2,1
23,20,22,1,4,39,16,4,1,1,2,1,13,4,38,6,10,4,40,30,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
21,24,22,2,42,4,29,7,12,15,4,39,10,15,13,4,29,7,12,15,0
4,39,10,15,13,4,29,7,12,15,13,4,36,70,4,24,24,3,22,3,1
23,20,22,1,4,38,4,56,17,12,6,30,35,12,7,12,6,4,23,42,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
20,20,2,42,4,38,4,48,6,35,6,30,12,4,40,32,28,8,13,4,0
28,8,13,4,60,26,17,12,9,17,13,4,36,70,4,24,22,20,21,1,1
20,20,2,42,4,38,4,48,6,35,6,30,12,4,40,32,28,8,13,4,0
4,47,7,17,46,12,26,32,32,9,13,4,36,70,4,24,22,20,23,42,1
1,2,1,2,2,4,11,9,46,12,43,4,39,10,15,13,4,39,9,30,0
39,9,30,12,4,18,9,30,12,43,13,4,36,70,4,24,33,1,3,2,1
23,20,20,24,4,38,4,56,17,12,6,30,35,12,7,12,6,4,23,42,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
1,1,21,24,1,4,55,35,4,51,26,37,43,10,7,15,4,33,22,4,0
22,4,38,13,4,36,15,32,6,30,13,4,36,70,4,24,42,24,2,33,1
21,2,2,42,4,11,4,11,7,16,4,41,7,15,58,46,30,17,4,39,0
15,13,4,11,43,6,30,16,7,17,13,4,36,70,4,24,42,2,22,2,1
21,24,33,3,4,56,17,12,6,30,35,12,7,12,6,4,23,2,13,4,0
13,4,5,6,35,64,46,26,12,6,13,4,36,70,4,24,42,1,42,2,1
23,20,22,1,4,39,16,4,1,1,2,1,13,4,38,6,10,4,40,30,0
4,40,30,7,46,17,44,6,32,35,13,4,36,70,4,24,20,1,23,2,1
1,2,1,33,4,18,4,33,12,43,4,11,12,13,4,27,46,35,12,26,0
