1,2,1,3,4,5,6,7,8,4,9,10,11,4,12,0
17,18,14,19,10,11,4,20,21,4,22,1,1,3,2,1
23,24,22,3,25,4,26,18,7,8,4,20,6,27,28,0
9,6,27,7,31,11,4,20,21,4,22,25,1,2,25,1
32,32,3,3,4,33,18,34,19,14,4,9,10,11,4,0
17,18,14,19,10,11,4,20,21,4,22,1,1,25,1,1
25,24,22,3,3,4,35,18,15,14,16,29,8,27,14,0
18,15,6,10,6,11,4,20,21,4,22,3,38,1,2,1
25,32,25,4,39,4,9,14,10,19,6,27,10,16,4,0
15,10,18,27,8,11,4,20,21,4,22,23,24,3,2,1
23,32,24,25,3,4,40,31,14,4,41,19,10,4,9,0
9,6,27,7,31,11,4,20,21,4,22,25,1,2,25,1
25,1,25,1,4,9,30,4,20,14,27,29,14,15,4,0
8,19,29,8,27,11,4,20,21,4,22,23,1,23,24,1
32,24,3,3,4,43,6,15,10,14,27,4,43,15,8,0
27,16,29,14,15,11,4,20,21,4,22,23,38,2,1,1
23,3,3,4,40,15,6,30,14,19,14,15,16,4,33,0
6,15,7,8,16,11,4,20,21,4,22,23,3,38,22,1
25,1,32,45,32,4,5,28,7,6,44,8,15,14,4,0
6,15,29,18,27,11,4,20,21,4,22,32,3,24,38,1
24,24,1,32,4,43,15,6,27,18,29,14,4,42,15,0
7,13,19,18,27,11,4,20,21,4,22,32,38,45,45,1
32,3,38,32,4,46,47,18,27,27,4,9,10,11,4,0
30,18,19,19,14,11,4,20,21,4,22,32,38,2,2,1
25,3,1,22,4,41,15,19,6,27,10,8,4,21,30,0
30,18,19,19,14,11,4,20,21,4,22,32,38,38,25,1
1,45,3,3,4,21,47,29,8,4,37,6,19,19,4,0
14,15,16,8,27,11,4,20,21,4,22,38,3,3,45,1
1,38,45,23,4,5,4,37,6,49,19,14,4,21,30,0
15,14,16,27,8,11,4,20,21,4,22,1,45,23,32,1
24,32,3,25,4,26,19,14,6,16,6,27,29,8,27,0
6,27,29,8,27,11,4,20,21,4,22,24,32,38,38,1
1,38,1,1,4,5,4,37,6,49,19,14,4,21,30,0
15,14,16,27,8,11,4,20,21,4,22,1,45,23,32,1
38,23,32,4,5,29,6,29,14,4,5,29,11,4,5,0
15,34,6,15,6,11,4,20,21,4,22,1,25,3,25,1
25,1,3,3,3,4,35,8,19,16,8,44,4,12,19,0
8,19,16,8,44,11,4,20,21,4,22,32,38,1,3,1
25,1,24,3,4,1,15,10,4,5,29,15,14,14,29,0
8,27,18,7,6,11,4,20,21,4,22,3,24,3,25,1
2,1,45,32,4,21,15,15,8,28,8,4,20,18,15,0
18,19,15,8,28,11,4,20,21,4,22,32,3,23,3,1
24,45,25,22,4,20,8,44,44,8,27,16,4,33,6,0
34,6,16,6,16,11,4,20,21,4,22,25,1,3,23,1
1,1,24,4,50,4,12,14,30,14,15,19,28,4,42,0
51,18,19,19,16,11,4,20,21,4,22,3,23,25,3,1
25,1,3,24,4,12,47,15,19,18,27,52,6,44,14,0
27,52,6,44,14,11,4,20,21,4,22,24,3,25,3,1
45,25,3,4,21,44,14,15,18,7,6,27,6,4,33,0
27,10,6,19,14,11,4,20,21,4,22,25,23,25,3,1
25,25,22,23,3,4,5,6,27,4,48,18,7,14,27,0
52,14,19,14,16,11,4,20,21,4,22,3,3,24,22,1
25,38,23,3,4,9,14,10,53,8,8,10,4,51,53,0
6,10,14,15,6,11,4,20,21,4,22,24,22,23,32,1
25,22,2,25,4,54,27,18,8,27,4,5,29,11,4,0
7,18,16,7,8,11,4,20,21,4,22,24,25,23,1,1
1,1,24,4,5,6,27,29,6,27,6,4,9,8,53,0
4,55,8,16,14,11,4,20,21,4,22,32,25,23,2,1
25,3,1,4,33,4,20,8,19,8,15,6,10,8,4,0
6,10,14,27,6,11,4,20,21,4,22,25,25,3,32,1
25,45,1,45,4,54,27,18,8,27,4,5,29,11,4,0
7,18,16,7,8,11,4,20,21,4,22,24,25,23,1,1
25,1,32,32,22,4,48,14,27,29,47,15,6,4,12,0
4,41,6,13,16,11,4,20,21,4,22,25,24,23,1,1
45,2,1,32,4,43,18,15,6,15,10,4,21,30,14,0
55,8,19,19,6,11,4,20,21,4,22,23,3,1,45,1
23,1,1,4,5,4,12,15,6,27,10,4,12,19,30,0
27,10,6,19,14,11,4,20,21,4,22,25,23,3,24,1
1,23,38,4,48,18,19,19,6,52,14,4,36,27,11,0
43,6,29,8,16,11,4,20,21,4,22,32,3,1,3,1
25,1,38,4,20,6,19,19,14,4,12,6,15,7,14,0
19,16,34,6,10,11,4,20,21,4,22,23,3,3,22,1
2,32,1,23,4,37,14,19,15,8,16,14,4,21,30,0
28,53,8,8,10,11,4,20,21,4,22,3,3,38,22,1
25,23,25,22,22,4,48,14,27,29,47,15,6,4,12,0
4,20,18,29,28,11,4,20,21,4,22,25,38,3,24,1
25,3,32,3,4,23,3,29,31,4,5,29,11,4,5,0
44,14,27,29,8,11,4,20,21,4,22,32,2,25,25,1
38,45,32,4,33,4,43,4,5,29,11,4,5,6,27,0
42,18,14,52,8,11,4,20,21,4,22,23,25,3,25,1
25,3,23,32,3,4,42,8,27,27,14,15,4,26,6,0
47,7,13,14,14,11,4,20,21,4,22,38,25,38,25,1
24,1,23,4,54,27,18,30,14,15,16,18,29,28,4,0
4,21,19,29,8,11,4,20,21,4,22,24,1,3,25,1
45,32,3,4,5,49,14,7,29,15,47,44,4,20,14,0
15,30,18,27,14,11,4,20,21,4,22,23,38,25,2,1
25,23,3,25,4,5,4,37,6,18,27,4,5,29,11,0
20,15,14,14,13,11,4,20,21,4,22,24,32,22,38,1
45,1,24,45,3,4,39,19,4,26,6,16,14,8,11,0
14,16,14,15,29,11,4,20,21,4,22,23,23,38,3,1
45,1,38,22,4,42,6,28,4,20,15,14,14,13,4,0
44,8,27,52,6,11,4,20,21,4,22,25,45,1,22,1
1,1,1,1,4,12,14,6,15,4,5,29,4,5,29,0
4,37,14,16,6,11,4,20,21,4,22,23,38,23,38,1
2,45,45,4,43,4,5,29,11,4,5,6,27,4,42,0
42,18,14,52,8,11,4,20,21,4,22,23,25,3,25,1
24,25,32,4,39,4,21,30,14,27,18,10,6,4,26,0
44,14,27,29,14,11,4,20,21,4,22,23,38,45,23,1
24,32,1,4,26,8,19,19,6,16,13,28,4,21,30,0
19,8,30,18,16,11,4,20,21,4,22,1,38,25,23,1
45,24,3,4,5,29,6,29,14,4,5,29,11,4,5,0
15,34,6,15,6,11,4,20,21,4,22,1,25,3,25,1
38,3,3,4,33,18,19,16,8,27,4,5,29,11,4,0
4,9,8,16,6,11,4,20,21,4,22,32,24,3,25,1
25,38,2,22,4,21,15,10,14,27,4,33,6,28,4,0
44,14,27,29,8,11,4,20,21,4,22,32,2,25,32,1
25,25,25,25,4,12,47,15,19,18,27,52,6,44,14,0
27,52,6,44,14,11,4,20,21,4,22,24,3,25,3,1
23,1,32,25,4,5,29,8,27,14,15,18,10,52,14,0
6,27,29,8,27,11,4,20,21,4,22,24,32,2,2,1
25,3,3,4,26,15,8,44,14,27,6,10,14,4,33,0
19,19,6,52,14,11,4,20,21,4,22,25,1,38,23,1
25,24,32,45,4,1,15,10,4,5,29,15,14,14,29,0
8,27,18,7,6,11,4,20,21,4,22,3,24,3,25,1
2,24,32,4,37,6,15,13,14,29,4,5,29,4,5,0
7,18,16,7,8,11,4,20,21,4,22,24,25,3,1,1
1,2,24,3,4,41,19,10,4,40,8,49,6,27,52,0
34,6,16,6,16,11,4,20,21,4,22,25,1,3,23,1
2,24,3,4,37,8,27,29,14,15,14,28,4,5,29,0
34,18,16,49,8,11,4,20,21,4,22,1,24,3,25,1
25,22,1,4,51,8,15,29,8,27,4,26,19,58,11,0
42,18,14,52,8,11,4,20,21,4,22,23,25,3,25,1
25,45,25,32,4,40,15,6,27,7,6,16,4,5,29,0
4,50,6,49,6,11,4,20,21,4,22,24,32,32,2,1
1,23,2,4,39,4,37,6,18,27,4,5,29,11,4,0
27,29,47,15,6,11,4,20,21,4,22,1,3,3,25,1
24,45,4,40,6,44,6,19,4,48,18,16,29,6,4,0
